eu_code,tên sản phẩm,annex1_legal_ref,hs6 hiện tại,đánh giá,mã HS6 đúng đề xuất (nếu sai/ngờ),lý do + nguồn dẫn,hs6_current_desc,hs6_proposed_desc,source_concordance_url,source_hs2012_url,source_annex1_url,original_annex1_group,original_note
270990,Others (2),0270990 Others ( 2 ),070940,SAI,070999,"Others của stem vegetables không phải celery 070940; residual vegetables n.e.c. 070999 phù hợp hơn. Nguồn EU/loài: 0270990 Others ( 2 ). HS2012 hiện tại: 070940: Vegetables: celery (other than celeriac), fresh or chilled. HS2012 đề xuất: 070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled.","070940: Vegetables: celery (other than celeriac), fresh or chilled","070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
256070,Thyme,0256070 Thyme | Thymus vulgaris,070999,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0256070 Thyme | Thymus vulgaris. HS2012 hiện tại: 070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled.","070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | REANCHOR 070940->070999: lump về nec đúng nhóm (ngoài-panel)"
1050000,Amphibians and Reptiles,1050000 Amphibians and Reptiles,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1050000 Amphibians and Reptiles. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
256040,Parsley,0256040 Parsley | Petroselinum crispum,070999,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0256040 Parsley | Petroselinum crispum. HS2012 hiện tại: 070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled.","070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | REANCHOR 070920->070999: lump về nec đúng nhóm (ngoài-panel)"
163100,Durians,0163100 Durians | Durio zibethinus,081060,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0163100 Durians | Durio zibethinus. HS2012 hiện tại: 081060: Fruit, edible: durians, fresh.","081060: Fruit, edible: durians, fresh",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,01xxxxx Trái cây (fresh/frozen) + nuts,Sầu riêng/durian (Durio zibethinus)
242020,Head cabbages,0242020 Head cabbages | Brassica oleracea var. capitata,070410,SAI,070490,"Head cabbages không phải cauliflower/headed broccoli 070410; cabbage thuộc brassica n.e.c. 070490. Nguồn EU/loài: 0242020 Head cabbages | Brassica oleracea var. capitata. HS2012 hiện tại: 070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled. HS2012 đề xuất: 070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled.","070410: Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled","070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
130050,Loquats/Japanese medlars,0130050 Loquats/Japanese medlars | Eriobotrya japonica,080830,SAI,081090,"Loquats/Japanese medlars không phải pears; 081090 fruits n.e.c. phù hợp hơn 080830. Nguồn EU/loài: 0130050 Loquats/Japanese medlars | Eriobotrya japonica. HS2012 hiện tại: 080830: Fruit, edible: pears, fresh. HS2012 đề xuất: 081090: Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh.","080830: Fruit, edible: pears, fresh","081090: Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,01xxxxx Trái cây (fresh/frozen) + nuts,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | LUMP_CERTIFIED 2026-06-29: gộp-cùng-họ (không có HS6 riêng), GIỮ theo chuẩn Ferro2015/Shingal2024 → Limitations"
300000,PULSES,0300000 PULSES,071310,NGỜ,071310;071333;071340;071390,"PULSES là nhóm gồm peas, beans, lentils, lupins và residual; một HS6 071310 chỉ bao phủ peas. Nguồn EU/loài: 0300000 PULSES. HS2012 hiện tại: 071310: Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried. HS2012 đề xuất: 071310: Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried | 071333: Vegetables, leguminous: kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried | 071340: Vegetables, leguminous: lentils, shelled, whether or not skinned or split, dried | 071390: Vegetables, leguminous: n.e.c. in heading no. 0713, shelled, whether or not skinned or split, dried.","071310: Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried","071310: Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried | 071333: Vegetables, leguminous: kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried | 071340: Vegetables, leguminous: lentils, shelled, whether or not skinned or split, dried | 071390: Vegetables, leguminous: n.e.c. in heading no. 0713, shelled, whether or not skinned or split, dried",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,03xxxxx Đậu/pulses,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | LUMP_CERTIFIED 2026-06-29: gộp-cùng-họ (không có HS6 riêng), GIỮ theo chuẩn Ferro2015/Shingal2024 → Limitations"
870000,Aril spices,0870000 Aril spices,090811,SAI,090821;090822,"Aril spices là mace/aril; 090811 là nutmeg. Nguồn EU/loài: 0870000 Aril spices. HS2012 hiện tại: 090811: Spices: nutmeg, neither crushed nor ground. HS2012 đề xuất: 090821: Spices: mace, neither crushed nor ground | 090822: Spices: mace, crushed or ground.","090811: Spices: nutmeg, neither crushed nor ground","090821: Spices: mace, neither crushed nor ground | 090822: Spices: mace, crushed or ground",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,08xxxxx Gia vị,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
401050,Sunflower seeds,0401050 Sunflower seeds | Helianthus annuus,120600,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0401050 Sunflower seeds | Helianthus annuus. HS2012 hiện tại: 120600: Oil seeds: sunflower seeds, whether or not broken.","120600: Oil seeds: sunflower seeds, whether or not broken",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,04xxxxx Hạt có dầu/oil fruits,"[map loài→HS: 0401050 Sunflower seeds | Helianthus ann] residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
110030,Lemons,0110030 Lemons | Citrus limon,080550,NGỜ,080550;080590,"Lemons/limes fit 080550, nhưng Annex có Buddha’s hand/citron; có thể cần 080590. Nguồn EU/loài: 0110030 Lemons | Citrus limon. HS2012 hiện tại: 080550: Fruit, edible: lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried. HS2012 đề xuất: 080550: Fruit, edible: lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried | 080590: Fruit, edible: citrus fruit n.e.c. in heading no. 0805, fresh or dried.","080550: Fruit, edible: lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried","080550: Fruit, edible: lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried | 080590: Fruit, edible: citrus fruit n.e.c. in heading no. 0805, fresh or dried",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,01xxxxx Trái cây (fresh/frozen) + nuts,Chanh/lemons (+limes 080550)
1011040,Kidney,1011040 Kidney,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1011040 Kidney. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
260010,Beans (with pods),0260010 Beans (with pods) | Phaseolus vulgaris,070820,NGỜ,070820;070890,"Beans with pods fit 070820 for Phaseolus/Vigna, nhưng Annex có fava/cowpea/chickpea-type legumes; cần 070890. Nguồn EU/loài: 0260010 Beans (with pods) | Phaseolus vulgaris. HS2012 hiện tại: 070820: Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled. HS2012 đề xuất: 070820: Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled | 070890: Vegetables, leguminous: (other than peas and beans), shelled or unshelled, fresh or chilled.","070820: Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled","070820: Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled | 070890: Vegetables, leguminous: (other than peas and beans), shelled or unshelled, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
632010,Strawberry,0632010 Strawberry | Fragaria x ananassa,121190,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0632010 Strawberry | Fragaria x ananassa. HS2012 hiện tại: 121190: Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered.","121190: Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,06xxxxx Chè/cà phê/hật cacao/thảo mộc,"[herbal infusion part→1211 plants for infusion; lumped] residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
1012040,Kidney,1012040 Kidney,,NGỜ,,Dòng đang để trống/loại vì thuộc sản phẩm động vật hoặc ngoài crop scope; nếu concordance toàn Annex I thì cần xây ánh xạ động vật riêng. Nguồn EU/loài: 1012040 Kidney. HS2012 hiện tại: (trống).,(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,10xxxxx SP động vật (cạn),"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
810030,Celery,0810030 Celery | Apium graveolens,091099,ĐÚNG,,Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0810030 Celery | Apium graveolens. HS2012 hiện tại: 091099: Spices: n.e.c. in heading no. 0910.,091099: Spices: n.e.c. in heading no. 0910,,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,08xxxxx Gia vị,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | HSFIX5 090921->091099: celery seed=spice nec 0910.99 (đang coriander)"
